image_path	caption
training/000000000.jpg	a very typical bus station
training/000000037.jpg	racecar driver steers his car during video game subject .
training/000000048.jpg	concept plug - in hybrid car on display
training/000000062.jpg	emergency services were called after a car smashed through a set of traffic lights
training/000000121.jpg	police car approaching a building by night
training/000000151.jpg	breakdown of the car on the road .
training/000000169.jpg	part of a car garage .
training/000000454.jpg	christmas lights in an expensive shopping center with cars parked in front of a store
training/000000565.jpg	vintage vehicle in the car rally
training/000000754.jpg	young woman get out of the car near the road
training/000000804.jpg	you 've never been on a bus like this .
training/000000829.jpg	a car parked outside a hotel displays a message .
training/000000834.jpg	a car leaving parents house .
training/000000884.jpg	reckless : the car was reported as stolen before the driver took police on the unforgettable chase across much .
training/000001295.jpg	vector illustration of teacher and children in a bus stop
training/000001321.jpg	racing car on a vector art illustration
training/000001498.jpg	mirror image of the car in the rain
training/000001578.jpg	the kids attending the wedding had a wonderful time filling person and car with bounty .
training/000001664.jpg	the car on the winter road
training/000001802.jpg	an inquisitive horse pokes its head into a warm car as temperatures drop
training/000001865.jpg	interior of an abandoned car factory .
training/000002043.jpg	regulatory road sign - no vehicles or combination of vehicles exceeding meters .
training/000002097.jpg	the police car is not there to direct traffic , he was trying to get by , like everybody else .
training/000002169.jpg	a car stranded in flood waters
training/000002252.jpg	an antique steam locomotive and train cars leaving a station
training/000002285.jpg	the cars were found in the neighborhood .
training/000002360.jpg	a couple looks at cars during a classic car show .
training/000002411.jpg	the rear of a car with a fake arm popping out from the boot
training/000002416.jpg	woman with broken car on the road
training/000002438.jpg	old classic car parked in a cuban street
training/000002502.jpg	patio packed cars at the port
training/000002660.jpg	logo on the side of a bus in city centre
training/000002674.jpg	happy couple driving in their car with arms in the air
training/000002876.jpg	a woman looking into a car after locking her keys inside
training/000002878.jpg	person driving school with a black car tire
training/000002938.jpg	police car with flashing light on the night city street .
training/000002968.jpg	color close up footage of a car 's turn signal blinking on the dashboard
training/000003022.jpg	a scaled down model of a car shot on white background
